"","Ticket.Number","Citation.Issue.Date","Violation","Fine.Amount","Citation.Status","Amount.Paid","Amount.Due","Citation.Issue.Month","Paid.On.Time","Latitude","Longitude","Citation.Issue.Year","Citation.Issue.DayOfWeek","Citation.Issue.Weekday","Citation.Issue.Hour","Citation.Issue.MonthYear"
"1",100013644,2009-01-11,"DBL PARK",75,"Closed",156,0,"Jan","1",37.7870950117,-122.410895068,2009,"Sun","Weekend",10,"Jan-2009"
"2",100013645,2009-01-11,"DBL PARK",75,"Closed",156,0,"Jan","1",37.7871713487,-122.410296666,2009,"Sun","Weekend",12,"Jan-2009"
"3",100013646,2009-01-11,"DBL PARK",75,"Closed",4,0,"Jan","1",37.7870267079,-122.41143048,2009,"Sun","Weekend",12,"Jan-2009"
"4",100013648,2009-01-19,"BUS ZONE",250,"Closed",98,0,"Jan","1",37.7842820548,-122.43296237,2009,"Mon","Weekday",12,"Jan-2009"
"5",100013649,2009-02-01,"TWAWY ZN#1",70,"Closed",40,0,"Feb","1",37.7857766481,-122.421275152,2009,"Sun","Weekend",13,"Feb-2009"
"6",975990153,2009-02-04,"BUS ZONE",250,"Closed",115,0,"Feb","1",37.7869877372,-122.411735951,2009,"Wed","Weekday",14,"Feb-2009"
"7",975990164,2009-02-10,"BUS ZONE",250,"Closed",90,0,"Feb","1",37.7856166374,-122.414950554,2009,"Tues","Weekday",17,"Feb-2009"
"8",975990175,2009-02-15,"BUS ZONE",250,"Open",4,335,"Feb","0",37.7870092323,-122.411567458,2009,"Sun","Weekend",16,"Feb-2009"
"9",975990186,2009-02-16,"BUS ZONE",250,"Closed",90,0,"Feb","1",37.7866509064,-122.429420614,2009,"Mon","Weekday",18,"Feb-2009"
"10",975990190,2009-02-16,"BUS ZONE",250,"Closed",90,0,"Feb","1",37.7869920363,-122.411702252,2009,"Mon","Weekday",9,"Feb-2009"
"11",975990212,2009-02-16,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7869705401,-122.411870744,2009,"Mon","Weekday",11,"Feb-2009"
"12",100002550,2009-02-16,"TWAWY ZN#1",70,"Closed",154,0,"Feb","1",37.7871722729,-122.40075225,2009,"Mon","Weekday",8,"Feb-2009"
"13",975990223,2009-02-17,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7888310185,-122.411205448,2009,"Tues","Weekday",9,"Feb-2009"
"14",975990245,2009-02-17,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7806220311,-122.412157821,2009,"Tues","Weekday",15,"Feb-2009"
"15",100002551,2009-02-17,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7851786613,-122.417316301,2009,"Tues","Weekday",16,"Feb-2009"
"16",100002552,2009-02-17,"BUS ZONE",250,"Closed",4,0,"Feb","1",37.7855496086,-122.414377835,2009,"Tues","Weekday",10,"Feb-2009"
"17",975990256,2009-02-18,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7872776876,-122.406631516,2009,"Wed","Weekday",14,"Feb-2009"
"18",975990271,2009-02-18,"DBL PARK",75,"Closed",4,0,"Feb","1",37.7868162422,-122.401448439,2009,"Wed","Weekday",17,"Feb-2009"
"19",975990282,2009-02-18,"DBL PARK",75,"Closed",156,0,"Feb","1",37.786780783,-122.40149332,2009,"Wed","Weekday",17,"Feb-2009"
"20",100002554,2009-02-18,"BUS ZONE",250,"Closed",90,0,"Feb","1",37.7843793515,-122.404534825,2009,"Wed","Weekday",11,"Feb-2009"
"21",100002556,2009-02-18,"BUS ZONE",250,"Closed",90,0,"Feb","1",37.7878485694,-122.399895653,2009,"Wed","Weekday",12,"Feb-2009"
"22",975990293,2009-02-19,"BUS ZONE",250,"Open",4,335,"Feb","0",37.786792102,-122.413269318,2009,"Thurs","Weekday",15,"Feb-2009"
"23",100002557,2009-02-19,"DBL PARK",75,"Closed",156,0,"Feb","1",37.7871552784,-122.410422646,2009,"Thurs","Weekday",9,"Feb-2009"
"24",100002558,2009-02-19,"DBL PARK",75,"Closed",4,0,"Feb","1",37.7868882944,-122.412515393,2009,"Thurs","Weekday",9,"Feb-2009"
